Acaldías,No habitantes,Promedio diario de residuos sólidos (toneladas)
Azcapotzalco,"432,205",829.5
Coyoacán,"614,447",900
Cuajimalpa de Morelos,"217,686",607.428
Gustavo A. Madero,"1,173,351",3020.547
Iztacalco,"404,695",868
Iztapalapa,"1,835,486",1250
La Magdalena Contreras,"247,622",450
Milpa Alta,"152,685",84.932
Álvaro Obregón,"759,137",825
Tláhuac,"392,313",395
Tlalpan,"699,928",1123
Xochimilco,"442,178",706
Benito Juárez,"434,153",594
Cuauhtémoc,"545,884",1540
Miguel Hidalgo,"414,470",750
Venustiano Carranza,"443,704",1020.819
