"Clave
Entidad",Entidad federativa,"Clave
Municipio o demarcación",Municipio,Base o sindicalizado,Eventual,Otros ,Total
09,Ciudad de México,002,Azcapotzalco,919664,0,734928,1654592
09,Ciudad de México,003,Coyoacán,5393488,3293120,4016,8690624
09,Ciudad de México,004,Cuajimalpa de Morelos,1228896,706816,16064,1951776
09,Ciudad de México,005,Gustavo A. Madero,6770976,5040080,8032,11819088
09,Ciudad de México,006,Iztacalco,2301168,0,1674672,3975840
09,Ciudad de México,007,Iztapalapa,8774960,261040,7168560,16204560
09,Ciudad de México,008,La Magdalena Contreras,1325280,0,883520,2208800
09,Ciudad de México,009,Milpa Alta,1160624,514048,4016,1678688
09,Ciudad de México,010,Álvaro Obregón,2252976,1546160,16064,3815200
09,Ciudad de México,011,Tláhuac,1437728,0,1184720,2622448
09,Ciudad de México,012,Tlalpan,2546144,0,1734912,4281056
09,Ciudad de México,013,Xochimilco,2008000,1120464,4016,3132480
09,Ciudad de México,014,Benito Juárez,3718816,2465824,0,6184640
09,Ciudad de México,015,Cuauhtémoc,5465776,2815216,12048,8293040
09,Ciudad de México,016,Miguel Hidalgo,2301168,1883504,60240,4244912
09,Ciudad de México,017,Venustiano Carranza,4084272,56224,2088320,6228816
